Code	Date	tl;dr	valid personal phone	Territory or use	Notes	
200		unassigned - nongeographic	0	not in use; available for non-geographic assignment	easily recognizable code (ERC)	
201	1/1/1947	assigned - geographic	1	New Jersey (Bergen County and Hudson County)	created for all of New Jersey  1956: split to create 609  1991: split to create 908  1997: split to create 973  2001: overlaid by 551	
202	1/1/1947	assigned - geographic	1	Washington, D.C.	2021: overlaid by 771	
203	1/1/1947	assigned - geographic	1	Southwestern Connecticut (Bridgeport, Danbury, New Haven, Waterbury, and southwestern Connecticut)	created for all of Connecticut  1995: split to create 860  2009: overlaid by 475	
204	1/1/1947	assigned - geographic	1	Manitoba	2012: overlaid by 431  2022: overlaid by 584	
205	1/1/1947	assigned - geographic	1	Alabama (Birmingham, Tuscaloosa, and parts of western and central Alabama)	created for all of Alabama  1995: split to create 334  1998: split to create 256  2019: overlaid by 659	
206	1/1/1947	assigned - geographic	1	Washington (Seattle area)	created for all of Washington  1957: split to create 509  1995: split to create 360  1997: split to create 425 and 253	
207	1/1/1947	assigned - geographic	1	Maine (all except Estcourt Station)		
208	1/1/1947	assigned - geographic	1	Idaho	2017: overlaid by 986	
209	1/1/1947	assigned - geographic	1	California (Stockton, Modesto, Merced, Tracy, San Andreas, and a part of central California extending into central Yosemite National Park)	split of 916  1998: split to create 559  2022: overlaid by 350	
210	1/1/1947	assigned - geographic	1	Texas (San Antonio metropolitan area)	split of 512  1997: split three ways to create 830 and 956  2017: overlaid by 726	
211		not assignable	0	Not assignable; N11 code for community services, local/regional information service		
212	1/1/1947	assigned - geographic	1	New York (New York City: Manhattan only, except for Marble Hill)	created for all of New York City  1984: split to create 718 for Brooklyn, Queens, and Staten Island  1992: the Bronx switched to 718  1992: overlaid by 917  1999: overlaid by 646  2017: overlaid by 332	
213	1/1/1947	assigned - geographic	1	California (central area of Los Angeles)	created for the southern third of California  1951: split to create 714  1957: split to create 805  1984: split to create 818  1991: split to create 310  1998: split to create 323  2017: merged with 323 as an overlay  2024: to be overlaid with 738	
214	1/1/1947	assigned - geographic	1	Texas (Dallas metropolitan area)	1953: split to create 817  1990: split to create 903  1996: split to create 972  1999: 214 and 972 were merged and overlaid with 469  2021: overlaid by 945	
